Image name       Warp number of each repeat    Weft number of each repeat  
plain001.BMP     2                             2           
plain002.BMP     2                             2           
plain003.BMP     2                             2           
plain004.BMP     2                             2           
plain005.BMP     2                             2           
plain006.BMP     2                             2           
plain007.BMP     2                             2           
plain008.BMP     2                             2           
plain009.BMP     2                             2           
plain010.BMP     2                             2           
plain011.BMP     2                             2           
plain012.BMP     2                             2           
plain013.BMP     2                             2           
plain014.BMP     2                             2           
plain015.BMP     2                             2           
plain016.BMP     2                             2           
plain017.BMP     2                             2           
plain018.BMP     2                             2           
plain019.BMP     2                             2           
plain020.BMP     2                             2           
plain021.BMP     2                             2           
plain022.BMP     2                             2           
plain023.BMP     2                             2           
plain024.BMP     2                             2           
plain025.BMP     2                             2           
plain026.BMP     2                             2           
plain027.BMP     2                             2           
plain028.BMP     2                             2           
plain029.BMP     2                             2           
plain030.BMP     2                             2           
plain031.BMP     2                             2           
plain032.BMP     2                             2           
plain033.BMP     2                             2           
plain034.BMP     2                             2           
plain035.BMP     2                             2           
plain036.BMP     2                             2           
plain037.BMP     2                             2           
plain038.BMP     2                             2           
plain039.BMP     2                             2           
plain040.BMP     2                             2           
plain041.BMP     2                             2           
plain042.BMP     2                             2           
plain043.BMP     2                             2           
plain044.BMP     2                             2           
plain045.BMP     2                             2           
plain046.BMP     2                             2           
plain047.BMP     2                             2           
plain048.BMP     2                             2           
plain049.BMP     2                             2           
plain050.BMP     2                             2           
plain051.BMP     2                             2           
plain052.BMP     2                             2           
plain053.BMP     2                             2           
plain054.BMP     2                             2           
plain055.BMP     2                             2           
plain056.BMP     2                             2           
plain057.BMP     2                             2           
plain058.BMP     2                             2           
plain059.BMP     2                             2           
plain060.BMP     2                             2           
plain061.BMP     2                             2           
plain062.BMP     2                             2           
plain063.BMP     2                             2           
plain064.BMP     2                             2           
plain065.BMP     2                             2           
plain066.BMP     2                             2           
plain067.BMP     2                             2           
plain068.BMP     2                             2           
plain069.BMP     2                             2           
plain070.BMP     2                             2           
plain071.BMP     2                             2           
plain072.BMP     2                             2           
plain073.BMP     2                             2           
plain074.BMP     2                             2           
plain075.BMP     2                             2           
plain076.BMP     2                             2           
plain077.BMP     2                             2           
plain078.BMP     2                             2           
plain079.BMP     2                             2           
plain080.BMP     2                             2           
plain081.BMP     2                             2           
plain082.BMP     2                             2           
plain083.BMP     2                             2           
plain084.BMP     2                             2           
plain085.BMP     2                             2           
plain086.BMP     2                             2           
plain087.BMP     2                             2           
plain088.BMP     2                             2           
plain089.BMP     2                             2           
plain090.BMP     2                             2           
plain091.BMP     2                             2           
plain092.BMP     2                             2           
plain093.BMP     2                             2           
plain094.BMP     2                             2           
plain095.BMP     2                             2           
plain096.BMP     2                             2           
plain097.BMP     2                             2           
plain098.BMP     2                             2           
plain099.BMP     2                             2           
plain100.BMP     2                             2           
plain101.BMP     2                             2           
plain102.BMP     2                             2           
plain103.BMP     2                             2           
plain104.BMP     2                             2           
plain105.BMP     2                             2           
plain106.BMP     2                             2           
plain107.BMP     2                             2           
plain108.BMP     2                             2           
plain109.BMP     2                             2           
plain110.BMP     2                             2           
plain111.BMP     2                             2           
plain112.BMP     2                             2           
plain113.BMP     2                             2           
plain114.BMP     2                             2           
plain115.BMP     2                             2           
plain116.BMP     2                             2           
plain117.BMP     2                             2           
plain118.BMP     2                             2           
plain119.BMP     2                             2           
plain120.BMP     2                             2           
plain121.BMP     2                             2           
plain122.BMP     2                             2           
plain123.BMP     2                             2           
plain124.BMP     2                             2           
plain125.BMP     2                             2           
plain126.BMP     2                             2           
plain127.BMP     2                             2           
plain128.BMP     2                             2           
plain129.BMP     2                             2           
plain130.BMP     2                             2           
plain131.BMP     2                             2           
plain132.BMP     2                             2           
plain133.BMP     2                             2           
plain134.BMP     2                             2           
plain135.BMP     2                             2           
plain136.BMP     2                             2           
plain137.BMP     2                             2           
plain138.BMP     2                             2           
plain139.BMP     2                             2           
plain140.BMP     2                             2           
plain141.BMP     2                             2           
plain142.BMP     2                             2           
plain143.BMP     2                             2           
plain144.BMP     2                             2           
plain145.BMP     2                             2           
plain146.BMP     2                             2           
plain147.BMP     2                             2           
plain148.BMP     2                             2           
plain149.BMP     2                             2           
plain150.BMP     2                             2           
plain151.BMP     2                             2           
plain152.BMP     2                             2           
plain153.BMP     2                             2           
plain154.BMP     2                             2           
plain155.BMP     2                             2           
plain156.BMP     2                             2           
plain157.BMP     2                             2           
plain158.BMP     2                             2           
plain159.BMP     2                             2           
plain160.BMP     2                             2           
plain161.BMP     2                             2           
plain162.BMP     2                             2           
plain163.BMP     2                             2           
plain164.BMP     2                             2           
plain165.BMP     2                             2           
plain166.BMP     2                             2           
plain167.BMP     2                             2           
plain168.BMP     2                             2           
plain169.BMP     2                             2           
plain170.BMP     2                             2           
plain171.BMP     2                             2           
plain172.BMP     2                             2           
plain173.BMP     2                             2           
plain174.BMP     2                             2           
plain175.BMP     2                             2           
plain176.BMP     2                             2           
plain177.BMP     2                             2           
plain178.BMP     2                             2           
plain179.BMP     2                             2           
plain180.BMP     2                             2           
plain181.BMP     2                             2           
plain182.BMP     2                             2           
plain183.BMP     2                             2           
plain184.BMP     2                             2           
plain185.BMP     2                             2           
plain186.BMP     2                             2           
plain187.BMP     2                             2           
plain188.BMP     2                             2           
plain189.BMP     2                             2           
plain190.BMP     2                             2           
plain191.BMP     2                             2           
plain192.BMP     2                             2           
plain193.BMP     2                             2           
plain194.BMP     2                             2           
plain195.BMP     2                             2           
plain196.BMP     2                             2           
plain197.BMP     2                             2           
plain198.BMP     2                             2           
plain199.BMP     2                             2           
plain200.BMP     2                             2           
plain201.BMP     2                             2           
plain202.BMP     2                             2           
plain203.BMP     2                             2           
plain204.BMP     2                             2           
plain205.BMP     2                             2           
satin001.BMP     5                             5           
satin002.BMP     5                             5           
satin003.BMP     5                             5           
satin004.BMP     5                             5           
satin005.BMP     5                             5           
satin006.BMP     5                             5           
satin007.BMP     5                             5           
satin008.BMP     5                             5           
satin009.BMP     5                             5           
satin010.BMP     5                             5           
satin011.BMP     5                             5           
satin012.BMP     5                             5           
satin013.BMP     5                             5           
satin014.BMP     5                             5           
satin015.BMP     5                             5           
satin016.BMP     5                             5           
satin017.BMP     5                             5           
satin018.BMP     5                             5           
satin019.BMP     5                             5           
satin020.BMP     5                             5           
satin021.BMP     5                             5           
satin022.BMP     5                             5           
satin023.BMP     5                             5           
satin024.BMP     18                             5           
satin025.BMP     5                             5           
satin026.BMP     5                             5           
twill001.BMP     3                             3           
twill002.BMP     3                             3           
twill003.BMP     3                             3           
twill004.BMP     3                             3           
twill005.BMP     3                             3           
twill006.BMP     3                             3           
twill007.BMP     3                             3           
twill008.BMP     3                             3           
twill009.BMP     3                             3           
twill010.BMP     3                             3           
twill011.BMP     3                             3           
twill012.BMP     3                             3           
twill013.BMP     3                             3           
twill014.BMP     3                             3           
twill015.BMP     3                             3           
twill016.BMP     3                             3           
twill017.BMP     3                             3           
twill018.BMP     3                             3           
twill019.BMP     3                             3           
twill020.BMP     3                             3           
twill021.BMP     3                             3           
twill022.BMP     3                             3           
twill023.BMP     3                             3           
twill024.BMP     8                             8           
twill025.BMP     8                             8           
twill026.BMP     8                             8           
twill027.BMP     8                             8           
twill028.BMP     4                             4           
twill029.BMP     4                             4           
twill030.BMP     4                             4           
twill031.BMP     4                             4           
twill032.BMP     4                             4           
twill033.BMP     8                             8           
twill034.BMP     4                             4           
